n,n_quarters,r2_avg,fin_neg_prop_coef,fin_neg_prop_t,log_size_coef,log_size_t,log_bm_coef,log_bm_t,log_turnover_coef,log_turnover_t,ff_alpha_pre_coef,ff_alpha_pre_t,nasdaq_coef,nasdaq_t,io_coef,io_t,coef,t,panel,config,ff48,cell,sentiment_var,fin_neg_tfidf_full_coef,fin_neg_tfidf_full_t,fin_neg_prop_mda_coef,fin_neg_prop_mda_t,fin_neg_tfidf_mda_coef,fin_neg_tfidf_mda_t
48246,60,0.040024021257084035,,,0.073646869246587,1.7919048849775807,0.1024422352605403,0.9048386562891564,-0.2754571024748403,-2.1500468957753993,0.04775727887904514,0.16910409060130888,-0.34915824690672503,-1.9974248211803673,0.15762560050652588,0.4469874415384064,-0.15785730557597993,-1.7515668758150504,default,D_WLS_freq_plus_TSwt,False,V_col2_prop_mda,fin_neg_prop_mda,,,-0.15785730557597993,-1.7515668758150504,,
48246,60,0.041835325117201255,,,0.07649720274028751,1.8522799871688949,0.0849435785005222,0.7152949474134579,-0.2665615981176412,-2.0697378251107668,0.03500968978296768,0.12342532938398468,-0.34156372218594167,-1.9557703399693183,0.15544859896851532,0.431105033123054,-0.010129175485405964,-1.3503540960417746,default,D_WLS_freq_plus_TSwt,False,V_col4_tfidf_mda,fin_neg_tfidf_mda,,,,,-0.010129175485405964,-1.3503540960417746
50792,60,0.023412591961653,-0.28168599379408216,-3.168344759223525,0.029048703555072206,0.8406970919199465,0.12443258768943408,1.5423614404459498,-0.2978474955392698,-2.3860407156473924,0.13686387860346655,1.0529258422378982,-0.2764395864866596,-1.8471117754187394,1.0760637201872043,2.4810982617944406,-0.28168599379408216,-3.168344759223525,default,E_min_obs_50,True,IV_col2_prop,fin_neg_prop,,,,,,
50792,60,0.02597966414550778,,,0.037689034518484404,1.0703824201060714,0.1186336251399214,1.4695556496808346,-0.29662138303018176,-2.4380793018661695,0.13099518320437464,1.0057076327910492,-0.2705995715158199,-1.8465797263480175,1.0653193942438164,2.48618748403055,-0.008352411654953264,-2.6322587901316457,default,E_min_obs_50,True,IV_col4_tfidf,fin_neg_tfidf_full,-0.008352411654953264,-2.6322587901316457,,,,
48246,60,0.024251706163575512,,,0.029191402200141797,0.8269792624085434,0.12857189202780836,1.5898341940173,-0.32655081765381144,-2.491340945654098,0.12918173829003946,0.9499583765081306,-0.2802619538632374,-1.821168814396485,1.1651692779065892,2.6268555672764604,-0.20605718864777386,-3.600598873718943,default,E_min_obs_50,True,V_col2_prop_mda,fin_neg_prop_mda,,,-0.20605718864777386,-3.600598873718943,,
48246,60,0.02510061842293817,,,0.04127240064248619,1.1791284038586862,0.12328194335987938,1.540309332418565,-0.32067092090856186,-2.484506771198021,0.12247239857880045,0.8954598266943328,-0.2681319567211974,-1.7745325646520689,1.145011877590481,2.6026072352899203,-0.013775264182048084,-3.4381610530633244,default,E_min_obs_50,True,V_col4_tfidf_mda,fin_neg_tfidf_mda,,,,,-0.013775264182048084,-3.4381610530633244
50792,60,0.017632803030208023,-0.2847364589632006,-3.724232966240653,0.0426845179522115,1.2374889221061227,0.2262611469741453,2.2026868422933665,-0.3933692399266785,-2.4291225071724964,0.18854035471791775,1.3825750174498448,-0.4228638997999947,-2.411989897696812,1.183925286971863,2.698310877293009,-0.2847364589632006,-3.724232966240653,default,E_min_obs_50,False,IV_col2_prop,fin_neg_prop,,,,,,
50792,60,0.01893729384707088,,,0.053004061535736995,1.5134383840425623,0.2182908814249087,2.127742780925432,-0.3848415806724267,-2.4453709550811733,0.18026756814936565,1.3163699715695734,-0.41630878641157326,-2.4167536839164723,1.1554524337005991,2.6861005560333346,-0.00873426893042273,-3.059059059182503,default,E_min_obs_50,False,IV_col4_tfidf,fin_neg_tfidf_full,-0.00873426893042273,-3.059059059182503,,,,
48246,60,0.018354044537212552,,,0.0340982297105486,0.9897345938970482,0.22833669756818264,2.3146684516767126,-0.41147833056753674,-2.4964016154342623,0.18843417720899092,1.3449958049408575,-0.4357020948125232,-2.4241067219385535,1.288367139110283,2.8678097191821332,-0.21337203524930018,-3.8201917600725106,default,E_min_obs_50,False,V_col2_prop_mda,fin_neg_prop_mda,,,-0.21337203524930018,-3.8201917600725106,,
48246,60,0.01881128387754052,,,0.04769237336639222,1.3814230472204845,0.22084685429952688,2.2417406475790056,-0.4048218185905698,-2.4962352925207294,0.1830832599872076,1.2915292923262984,-0.4214909340576583,-2.4107150071918015,1.2509474017518591,2.8313442503596487,-0.013573659471370467,-3.291739661008795,default,E_min_obs_50,False,V_col4_tfidf_mda,fin_neg_tfidf_mda,,,,,-0.013573659471370467,-3.291739661008795
50792,60,0.023412591961653,-0.28168599379408216,-3.168344759223525,0.029048703555072206,0.8406970919199465,0.12443258768943408,1.5423614404459498,-0.2978474955392698,-2.3860407156473924,0.13686387860346655,1.0529258422378982,-0.2764395864866596,-1.8471117754187394,1.0760637201872043,2.4810982617944406,-0.28168599379408216,-3.168344759223525,default,F_min_obs_100,True,IV_col2_prop,fin_neg_prop,,,,,,
50792,60,0.02597966414550778,,,0.037689034518484404,1.0703824201060714,0.1186336251399214,1.4695556496808346,-0.29662138303018176,-2.4380793018661695,0.13099518320437464,1.0057076327910492,-0.2705995715158199,-1.8465797263480175,1.0653193942438164,2.48618748403055,-0.008352411654953264,-2.6322587901316457,default,F_min_obs_100,True,IV_col4_tfidf,fin_neg_tfidf_full,-0.008352411654953264,-2.6322587901316457,,,,
48246,60,0.024251706163575512,,,0.029191402200141797,0.8269792624085434,0.12857189202780836,1.5898341940173,-0.32655081765381144,-2.491340945654098,0.12918173829003946,0.9499583765081306,-0.2802619538632374,-1.821168814396485,1.1651692779065892,2.6268555672764604,-0.20605718864777386,-3.600598873718943,default,F_min_obs_100,True,V_col2_prop_mda,fin_neg_prop_mda,,,-0.20605718864777386,-3.600598873718943,,
48246,60,0.02510061842293817,,,0.04127240064248619,1.1791284038586862,0.12328194335987938,1.540309332418565,-0.32067092090856186,-2.484506771198021,0.12247239857880045,0.8954598266943328,-0.2681319567211974,-1.7745325646520689,1.145011877590481,2.6026072352899203,-0.013775264182048084,-3.4381610530633244,default,F_min_obs_100,True,V_col4_tfidf_mda,fin_neg_tfidf_mda,,,,,-0.013775264182048084,-3.4381610530633244
50792,60,0.017632803030208023,-0.2847364589632006,-3.724232966240653,0.0426845179522115,1.2374889221061227,0.2262611469741453,2.2026868422933665,-0.3933692399266785,-2.4291225071724964,0.18854035471791775,1.3825750174498448,-0.4228638997999947,-2.411989897696812,1.183925286971863,2.698310877293009,-0.2847364589632006,-3.724232966240653,default,F_min_obs_100,False,IV_col2_prop,fin_neg_prop,,,,,,
50792,60,0.01893729384707088,,,0.053004061535736995,1.5134383840425623,0.2182908814249087,2.127742780925432,-0.3848415806724267,-2.4453709550811733,0.18026756814936565,1.3163699715695734,-0.41630878641157326,-2.4167536839164723,1.1554524337005991,2.6861005560333346,-0.00873426893042273,-3.059059059182503,default,F_min_obs_100,False,IV_col4_tfidf,fin_neg_tfidf_full,-0.00873426893042273,-3.059059059182503,,,,
48246,60,0.018354044537212552,,,0.0340982297105486,0.9897345938970482,0.22833669756818264,2.3146684516767126,-0.41147833056753674,-2.4964016154342623,0.18843417720899092,1.3449958049408575,-0.4357020948125232,-2.4241067219385535,1.288367139110283,2.8678097191821332,-0.21337203524930018,-3.8201917600725106,default,F_min_obs_100,False,V_col2_prop_mda,fin_neg_prop_mda,,,-0.21337203524930018,-3.8201917600725106,,
48246,60,0.01881128387754052,,,0.04769237336639222,1.3814230472204845,0.22084685429952688,2.2417406475790056,-0.4048218185905698,-2.4962352925207294,0.1830832599872076,1.2915292923262984,-0.4214909340576583,-2.4107150071918015,1.2509474017518591,2.8313442503596487,-0.013573659471370467,-3.291739661008795,default,F_min_obs_100,False,V_col4_tfidf_mda,fin_neg_tfidf_mda,,,,,-0.013573659471370467,-3.291739661008795
